image_id,xmin,ymin,xmax,ymax,names
new_data508.jpeg,399,354,595,850,scolytes
new_data508.jpeg,552,638,648,822,scolytes
new_data508.jpeg,646,591,896,850,scolytes
new_data509.jpeg,84,168,651,804,scolytes
new_data509.jpeg,301,272,679,875,scolytes
new_data509.jpeg,613,792,692,952,scolytes
new_data510.jpeg,136,2,698,1280,scolytes
new_data511.jpeg,241,290,633,884,scolytes
new_data512.jpeg,1,575,952,1027,scolytes
new_data512.jpeg,153,34,926,200,scolytes
new_data513.jpeg,1,75,678,869,scolytes
new_data513.jpeg,1,811,692,1280,scolytes
new_data514.jpeg,165,384,703,948,scolytes
new_data515.jpeg,374,730,960,931,scolytes
new_data516.jpeg,387,15,730,896,scolytes
new_data517.jpeg,229,299,575,948,scolytes
new_data518.jpeg,67,602,844,952,scolytes
new_data519.jpeg,1,203,888,930,scolytes
new_data519.jpeg,336,894,911,1100,scolytes
new_data520.jpeg,253,545,353,726,scolytes
new_data520.jpeg,315,141,461,438,scolytes
new_data520.jpeg,603,719,784,908,scolytes
new_data520.jpeg,1,184,124,548,scolytes
new_data520.jpeg,519,495,595,685,scolytes
new_data521.jpeg,368,376,740,580,scolytes
new_data521.jpeg,714,677,960,1176,scolytes
new_data522.jpeg,1,460,255,975,scolytes
new_data522.jpeg,386,337,583,954,scolytes
new_data523.jpeg,237,142,725,999,scolytes
new_data524.jpeg,305,329,629,1056,scolytes
new_data525.jpeg,138,525,742,995,scolytes
new_data526.jpeg,25,454,917,1163,scolytes
new_data526.jpeg,586,1057,960,1190,scolytes
new_data527.jpeg,349,223,844,1030,scolytes
new_data528.jpeg,411,360,672,783,scolytes
new_data528.jpeg,709,329,803,481,scolytes
new_data529.jpeg,279,238,1144,635,scolytes
new_data530.jpeg,442,437,874,1103,scolytes
new_data531.jpeg,151,195,960,1140,scolytes
new_data532.jpeg,453,515,745,1025,scolytes
new_data533.jpeg,57,433,715,927,scolytes
new_data534.jpeg,461,929,663,1280,scolytes
new_data534.jpeg,582,502,960,840,scolytes
new_data534.jpeg,101,488,490,780,scolytes
new_data535.jpeg,146,613,334,1014,scolytes
new_data535.jpeg,568,492,960,1058,scolytes
new_data535.jpeg,469,8,819,808,scolytes
new_data536.jpeg,233,208,728,1031,scolytes
new_data537.jpeg,83,26,810,1280,scolytes
new_data538.jpeg,240,217,869,1027,scolytes
new_data539.jpeg,578,371,960,763,scolytes
new_data540.jpeg,1,330,869,814,scolytes
new_data541.jpeg,215,442,529,610,scolytes
new_data541.jpeg,1,503,767,908,scolytes
new_data542.jpeg,1,513,880,854,scolytes
new_data542.jpeg,1,302,752,541,scolytes
new_data543.jpeg,536,145,761,375,scolytes
new_data543.jpeg,86,223,292,442,scolytes
new_data544.jpeg,405,530,637,923,scolytes
new_data544.jpeg,368,475,444,745,scolytes
new_data544.jpeg,257,819,337,980,scolytes
new_data545.jpeg,13,572,780,821,scolytes
new_data546.jpeg,190,213,472,461,scolytes
new_data546.jpeg,425,223,867,830,scolytes
new_data547.jpeg,1,553,661,1022,scolytes
new_data548.jpeg,1,521,832,814,scolytes
new_data549.jpeg,351,477,765,994,scolytes
new_data550.jpeg,163,410,799,834,scolytes
new_data551.jpeg,315,546,911,1053,scolytes
new_data552.jpeg,272,154,686,953,scolytes
new_data553.jpeg,684,569,787,811,scolytes
new_data553.jpeg,260,531,538,1152,scolytes
new_data554.jpeg,163,218,783,1069,scolytes
new_data555.jpeg,88,837,386,1280,scolytes
new_data556.jpeg,468,637,653,971,scolytes
new_data556.jpeg,290,940,438,1067,scolytes
new_data557.jpeg,1,192,945,788,scolytes
new_data558.jpeg,1,404,741,1280,scolytes
new_data558.jpeg,56,434,359,721,scolytes
new_data558.jpeg,510,958,576,1054,scolytes
new_data559.jpeg,610,541,830,796,scolytes
new_data559.jpeg,1,496,478,734,scolytes
new_data560.jpeg,675,442,774,635,scolytes
new_data560.jpeg,279,437,498,988,scolytes
