image_id,xmin,ymin,xmax,ymax,names
new_data449.jpeg,201,358,449,479,acariens
new_data449.jpeg,517,430,663,694,acariens
new_data449.jpeg,268,608,521,1026,acariens
new_data449.jpeg,602,698,703,1121,acariens
new_data449.jpeg,638,294,878,623,acariens
new_data449.jpeg,165,435,425,598,acariens
new_data450.jpeg,337,475,471,904,acariens
new_data451.jpeg,178,427,415,554,acariens
new_data451.jpeg,149,569,518,952,acariens
new_data452.jpeg,11,50,294,729,acariens
new_data452.jpeg,433,487,846,631,acariens
new_data453.jpeg,346,521,711,722,acariens
new_data453.jpeg,280,679,682,973,acariens
new_data453.jpeg,463,341,641,594,acariens
new_data454.jpeg,125,680,530,853,acariens
new_data454.jpeg,368,614,683,830,acariens
new_data455.jpeg,426,549,868,818,acariens
new_data456.jpeg,532,565,819,1011,acariens
new_data456.jpeg,242,581,438,1017,acariens
new_data457.jpeg,330,607,578,1084,acariens
new_data457.jpeg,3,633,248,1069,acariens
new_data458.jpeg,88,271,341,833,acariens
new_data458.jpeg,340,241,691,925,acariens
new_data458.jpeg,663,44,960,414,acariens
new_data459.jpeg,346,540,509,806,acariens
new_data459.jpeg,203,653,287,900,acariens
new_data459.jpeg,414,810,513,1027,acariens
new_data460.jpeg,301,402,755,611,acariens
new_data460.jpeg,1,477,144,827,acariens
new_data460.jpeg,159,504,274,868,acariens
new_data461.jpeg,325,280,476,749,acariens
new_data461.jpeg,1,492,333,635,acariens
new_data462.jpeg,172,394,474,903,acariens
new_data462.jpeg,129,218,487,364,acariens
new_data462.jpeg,471,431,594,814,acariens
new_data463.jpeg,257,99,564,552,acariens
new_data463.jpeg,428,688,588,1013,acariens
new_data463.jpeg,10,391,183,748,acariens
new_data463.jpeg,660,733,737,968,acariens
new_data463.jpeg,590,960,837,1096,acariens
new_data463.jpeg,860,708,960,957,acariens
new_data464.jpeg,378,650,632,1025,acariens
new_data464.jpeg,338,318,690,553,acariens
new_data464.jpeg,1,653,232,807,acariens
new_data464.jpeg,144,677,283,1130,acariens
new_data464.jpeg,694,741,795,1064,acariens
new_data465.jpeg,187,473,490,1019,acariens
new_data465.jpeg,560,227,819,733,acariens
new_data465.jpeg,609,1,742,248,acariens
new_data466.jpeg,283,522,380,890,acariens
new_data466.jpeg,419,511,653,922,acariens
new_data466.jpeg,1,440,303,680,acariens
new_data467.jpeg,57,664,421,1069,acariens
new_data467.jpeg,671,669,960,1125,acariens
new_data467.jpeg,1,483,457,654,acariens
new_data467.jpeg,1,723,228,852,acariens
new_data467.jpeg,510,779,671,1280,acariens
new_data467.jpeg,305,880,418,1280,acariens
new_data468.jpeg,242,585,721,1035,acariens
new_data468.jpeg,72,625,229,1280,acariens
new_data468.jpeg,95,361,336,498,acariens
